route_id,service_id,trip_id,direction_id
100100031,SER_20260912,100100031_108018149_203_d0,0
100100031,SER_20260912,100100031_108018149_95_d0,0
100100031,SER_20260912,100100031_108018149_95_d1,1
100100031,SER_20260912,100100031_108018165_110_d1,1
100100031,SER_20260912,100100031_108018165_192_d0,0
100100031,SER_20260912,100100031_108018165_192_d1,1
100100031,SER_20260912,100100031_108018167_88_d0,0
100100031,SER_20260912,100100031_108018167_88_d1,1
100100031,SER_20260912,100100031_108018171_199_d0,0
100100031,SER_20260912,100100031_108018171_199_d1,1
100100031,SER_20260912,100100031_108018171_97_d0,0
100100031,SER_20260912,100100031_108018171_97_d1,1
100100031,SER_20260912,100100031_108018204_181_d0,0
100100031,SER_20260912,100100031_108018204_181_d1,1
100100031,SER_20260912,100100031_108018216_106_d0,0
100100031,SER_20260912,100100031_108018216_106_d1,1
100100031,SER_20260912,100100031_108018227_176_d0,0
100100031,SER_20260912,100100031_108018227_176_d1,1
100100031,SER_20260912,100100031_108018228_163_d0,0
100100031,SER_20260912,100100031_108018228_163_d1,1
100100031,SER_20260912,100100031_108018228_253_d0,0
100100031,SER_20260912,100100031_108018243_185_d0,0
100100031,SER_20260912,100100031_108018243_185_d1,1
100100031,SER_20260912,100100031_108018244_98_d0,0
100100031,SER_20260912,100100031_108018244_98_d1,1
100100031,SER_20260912,100100031_108018261_112_d0,0
100100031,SER_20260912,100100031_108018261_112_d1,1
100100031,SER_20260912,100100031_108018270_191_d0,0
100100031,SER_20260912,100100031_108018270_191_d1,1
100100031,SER_20260912,100100031_108018272_89_d0,0
100100031,SER_20260912,100100031_108018272_89_d1,1
100100031,SER_20260912,100100031_108018309_165_d0,0
100100031,SER_20260912,100100031_108018309_165_d1,1
100100031,SER_20260912,100100031_108018309_235_d0,0
100100031,SER_20260912,100100031_108018309_235_d1,1
100100031,SER_20260912,100100031_108018338_109_d1,1
100100031,SER_20260912,100100031_108018338_198_d0,0
100100031,SER_20260912,100100031_108018338_198_d1,1
100100031,SER_20260912,100100031_108018352_99_d0,0
100100031,SER_20260912,100100031_108018352_99_d1,1
100100031,SER_20260912,100100031_108018357_188_d0,0
100100031,SER_20260912,100100031_108018357_188_d1,1
100100031,SER_20260912,100100031_108018381_103_d0,0
100100031,SER_20260912,100100031_108018381_103_d1,1
100100031,SER_20260912,100100031_108018464_111_d1,1
100100031,SER_20260912,100100031_108018464_190_d0,0
100100031,SER_20260912,100100031_108018464_190_d1,1
100100031,SER_20260912,100100031_108018480_100_d0,0
100100031,SER_20260912,100100031_108018480_100_d1,1
100100031,SER_20260912,100100031_108018484_105_d0,0
100100031,SER_20260912,100100031_108018484_105_d1,1
100100031,SER_20260912,100100031_108018496_162_d0,0
100100031,SER_20260912,100100031_108018496_162_d1,1
100100031,SER_20260912,100100031_108018496_258_d0,0
100100031,SER_20260912,100100031_108018522_179_d0,0
100100031,SER_20260912,100100031_108018522_179_d1,1
100100031,SER_20260912,100100031_108018526_96_d0,0
100100031,SER_20260912,100100031_108018526_96_d1,1
100100031,SER_20260912,100100031_108018539_108_d0,0
100100031,SER_20260912,100100031_108018539_108_d1,1
100100031,SER_20260912,100100031_108018540_220_d0,0
100100031,SER_20260912,100100031_108018540_91_d0,0
100100031,SER_20260912,100100031_108018540_91_d1,1
